POA_CODE,STATE,Weighted average income,Weighted average IRSAD quartile,Mortgage percentage unaffordability,Rent percentage unaffordability,House,Semi-detached,Apartment,House percentage,Semi-detached percentrage,Apartment percentage,Owned outright percentage,Mortage percentage,Renting percentage
2108,NSW,175054.7775,2.893371758,34.96503497,58.82352941,1202,8,116,90.64856712,0.60331825,8.74811463,58.56573705,25.49800797,15.93625498
2110,NSW,191711.3535,3.061384278,25.96259626,46.26623377,2462,428,754,67.56311745,11.7453348,20.69154775,44.75298676,33.54859541,21.69841782
2111,NSW,151244.0523,2.798471047,19.06354515,37.1825587,2997,898,2992,43.51677073,13.0390591,43.44417018,30.15455442,32.83459388,37.01085169
2112,NSW,131025.8966,2.732433755,26.34503663,39.00670654,6540,1613,8040,40.3878219,9.9610943,49.6510838,26.29703535,31.49942987,42.20353478
2113,NSW,132781.8036,2.751702611,24.74074074,36.64233577,3929,1221,7310,31.5329053,9.799357945,58.66773676,22.15183799,28.36164699,49.48651502
2114,NSW,128056.5885,2.733217533,24.66517857,35.50204918,4160,913,5887,37.95620438,8.330291971,53.71350365,26.30213737,30.52500519,43.17285744
2115,NSW,122071.7096,2.593691149,28.26603325,34.59232614,2821,1031,914,59.19009652,21.63239614,19.17750734,22.33611442,33.6352801,44.02860548
2116,NSW,115084.3873,2.563948841,25.25906736,38.46153846,1465,921,441,51.82171914,32.57870534,15.59957552,22.38866397,34.65587045,42.95546559
2117,NSW,116952.154,2.663390011,30.14925373,41.64025357,4389,2798,1369,51.2973352,32.70219729,16.00046751,27.31217792,35.31326282,37.37455926
2118,NSW,126836.0008,2.931068931,31.56732892,38.30093593,5588,1234,3256,55.44750943,12.24449295,32.30799762,31.35872655,34.69016487,33.95110858
2119,NSW,179204.1911,3.1994077,19.97008227,36.1952862,3600,227,510,83.00668665,5.234032742,11.75928061,45.57246196,38.26390621,16.16363183
2120,NSW,156969.0496,3.078326029,15.18700416,35.55045872,5915,879,775,78.14770776,11.61315894,10.23913331,37.58273381,42.02877698,20.38848921
2121,NSW,142846.7258,3.005352137,28.79499218,33.34910123,6120,1176,5776,46.81762546,8.996328029,44.18604651,30.17583175,30.69298397,39.13118428
2122,NSW,120865.6365,2.721760129,29.09482759,42.06128134,5309,3731,3450,42.5060048,29.87189752,27.62209768,31.20678529,28.94809625,39.84511847
2125,NSW,179604.1805,3.274390244,21.70582227,33.9100346,4970,372,176,90.06886553,6.741573034,3.189561435,45.07370054,42.31962762,12.60667184
2126,NSW,167917.4553,3.267814927,19.42130644,27.37361282,4986,1117,102,80.35455278,18.0016116,1.643835616,40.72468793,43.9667129,15.30859917
2127,NSW,123770.4939,2.746978324,30.05483208,39.23264999,787,357,10924,6.521378853,2.958236659,90.52038449,11.10887907,31.90036159,56.99075934
2128,NSW,109326.2243,2.600253807,28.0155642,40.11299435,279,185,460,30.19480519,20.02164502,49.78354978,13.43669251,36.43410853,50.12919897
2130,NSW,143682.4438,2.778207608,15.57788945,32.82653766,661,572,2329,18.55699045,16.05839416,65.38461538,21.44484217,28.1483892,50.40676863
2131,NSW,116063.4838,2.501789394,21.26556017,34.53302961,2211,764,7641,20.8270535,7.19668425,71.97626225,23.35881295,23.65107914,52.99010791
2132,NSW,138006.6834,2.74904943,22.01745878,35.90504451,2164,683,1132,54.385524,17.16511686,28.44935914,36.35077793,32.5884017,31.06082037
2133,NSW,119759.5654,2.548582996,24.30243024,44.60492778,2029,1192,1137,46.55805415,27.35199633,26.08994952,34.99614297,32.1933659,32.81049113
2134,NSW,106592.814,2.321814904,35.71428571,46.10745614,1563,686,5449,20.30397506,8.91140556,70.78461938,20.66841214,17.49576467,61.83582319
2135,NSW,144301.1479,2.669210897,31.21420389,33.35278669,4235,447,5172,42.97747108,4.536228943,52.48629998,29.76548406,24.38965725,45.84485869
2136,NSW,121618.6702,2.638165138,28.53535354,42.78787879,1426,606,979,47.35968117,20.12620392,32.51411491,31.89493433,33.92120075,34.18386492
2137,NSW,149029.9782,2.762099922,25.49019608,34.61290323,4778,1093,5418,42.32438657,9.681991319,47.99362211,37.72425414,28.84329468,33.43245118
2138,NSW,136032.4703,2.793263647,32.11856171,36.82857143,1989,494,6417,22.34831461,5.550561798,72.1011236,20.52885242,30.02474925,49.44639833
2140,NSW,118161.0119,2.648309562,26.10641472,31.26066813,784,299,7913,8.714984438,3.323699422,87.96131614,10.18791946,29.54362416,60.26845638
2141,NSW,110395.3535,2.474964098,32.31966054,41.20267261,5178,1812,5029,43.08178717,15.07612946,41.84208337,24.57751294,30.99540881,44.42707825
2142,NSW,95782.78162,2.251068136,28.70662461,36.93294977,3923,1184,5934,35.53120188,10.72366633,53.74513178,17.47382952,24.81306799,57.7131025
2143,NSW,102350.052,2.353121801,25.87776333,45.38676608,2207,227,870,66.79782082,6.870460048,26.33171913,28.60610264,29.99306519,41.40083218
2144,NSW,97631.97721,2.199962936,35.7400722,38.90141422,5279,1276,6250,41.22608356,9.964857478,48.80905896,22.89915966,24.48433919,52.61650115
2145,NSW,122387.2257,2.686754219,21.23337364,29.50240189,15864,6182,10620,48.56425641,18.92487602,32.51086757,23.56162409,33.2168462,43.2215297
2146,NSW,121899.7979,2.693194379,17.75200714,32.36060448,4343,1408,1265,61.9013683,20.06841505,18.03021665,26.41843972,39.73243069,33.84912959
2147,NSW,114363.9592,2.534819382,17.7688868,34.27707532,12226,1012,762,87.32857143,7.228571429,5.442857143,29.82131359,37.79781069,32.38087572
2148,NSW,106318.1365,2.464367291,21.99909407,33.49294045,17314,3927,3553,69.83141083,15.83850932,14.33007986,23.95978777,34.56669459,41.47351764
2150,NSW,119410.3506,2.590915816,24.22561258,25.85669782,1240,846,14191,7.618111446,5.19751797,87.18437058,9.78017048,17.95274413,72.26708539
2151,NSW,120825.364,2.66932323,23.19587629,36.57484235,3732,1173,3798,42.88176491,13.478111,43.6401241,25.0334314,31.47900508,43.48756352
2152,NSW,119611.6972,2.635671435,19.54022989,36.66158537,2313,919,1664,47.24264706,18.77042484,33.9869281,28.00492611,37.31527094,34.67980296
2153,NSW,149910.6658,3.019297305,20.12241775,31.97703445,16247,2549,3380,73.26388889,11.49440837,15.24170274,35.0094782,43.49995011,21.49057169
2154,NSW,155145.9524,3.072735555,21.72918573,34.94318182,10268,1624,2443,71.62888036,11.32891524,17.04220439,36.81458003,39.01743265,24.16798732
2155,NSW,170547.6586,3.304922557,20.05157963,30.07736944,19321,1679,3059,80.30674592,6.978677418,12.71457667,20.02618392,54.58444314,25.38937294
2156,NSW,168890.3839,3.090735889,20.42704626,43.89438944,3766,595,88,84.64823556,13.37379186,1.977972578,49.39979123,41.80584551,8.794363257
2157,NSW,156264.1097,3.019039735,25.10822511,40.58823529,1294,3,15,98.62804878,0.228658537,1.143292683,40.5982906,43.93162393,15.47008547
2158,NSW,159241.9151,3.021177315,23.23232323,37.74647887,2468,245,248,83.35021952,8.274231678,8.375548801,47.56415024,37.59761993,14.83822983
2159,NSW,150613.1047,2.938256659,23.10606061,34.25414365,1582,78,128,88.4787472,4.362416107,7.158836689,47.84288474,38.57050869,13.58660657
2160,NSW,95174.21719,2.233127297,30.64916637,46.8879668,6727,2019,5547,47.06499685,14.12579584,38.8092073,24.01821775,27.73051474,48.25126751
2161,NSW,88862.38885,2.150470868,34.79308959,50.03868971,6798,1880,2801,59.22118651,16.37773325,24.40108023,23.19209939,30.48741637,46.32048423
2162,NSW,92262.42756,2.203250612,32.3867478,50.62468766,4775,907,959,71.90182201,13.65758169,14.4405963,29.16291629,30.78307831,40.0540054
2163,NSW,72588.0228,1.844051447,35.8044164,45.11873351,2161,223,1304,58.59544469,6.046637744,35.35791757,19.2563081,23.73837981,57.00531208
2164,NSW,93853.76263,2.131386861,28.59801489,54.08921933,5740,736,528,81.95316962,10.50828098,7.5385494,33.10553083,29.40241577,37.4920534
2165,NSW,82728.48766,1.926201503,32.9787234,58.20920502,8730,2240,3970,58.43373494,14.99330656,26.5729585,26.46899014,23.12349608,50.40751378
2166,NSW,87990.11648,2.027001026,28.10763381,48.67433717,10141,3117,4347,57.60295371,17.70519739,24.69184891,30.59647269,25.42440055,43.97912676
2167,NSW,119026.5474,2.746342982,18.95695364,29.84031936,2374,1018,73,68.51370851,29.37950938,2.106782107,22.89156627,42.42232086,34.68611287
2168,NSW,91180.64609,2.123483841,31.27392017,47.02549575,11525,1407,1600,79.30773465,9.682080925,11.01018442,25.66237093,33.17858,41.15904907
2170,NSW,99714.77313,2.33807501,25.46449118,46.84323763,23277,5539,12480,56.36623402,13.41292135,30.22084463,23.65148787,34.19089272,42.15761942
2171,NSW,137076.8325,2.967452738,25.49707602,43.45434543,10146,663,61,93.33946642,6.099356026,0.561177553,23.15007429,56.93907875,19.91084695
2172,NSW,180848.1414,3.260820046,15.73333333,18.57142857,870,37,8,95.08196721,4.043715847,0.87431694,33.64485981,49.64953271,16.70560748
2173,NSW,142557.7417,2.957811776,17.88154897,29.62655602,4149,397,20,90.86727989,8.694699956,0.438020149,23.71375117,45.06548176,31.22076707
